,S(t)
0,100.0
1,99.77167759479921
2,101.31381063826518
3,98.9649409725752
4,100.53830956740632
5,99.73440961610565
6,98.41125251676226
7,94.94424583916896
8,99.07262845650041
9,99.16329211199972
10,99.40594640600615
11,105.00073329648906
12,101.83116256460282
13,107.19415117859494
14,114.32962980529268
15,114.42703481576791
16,112.38915942896506
17,108.00454254000293
18,115.62552757089621
19,110.4042464371752
20,114.75777927439226
21,123.48607108952538
22,124.8252806802756
23,122.23236756775432
24,120.29815263611168
25,116.11323783979306
26,109.30767947409545
27,113.44220564624942
28,114.84899206765301
29,116.07716049940687
30,123.32880478497306
31,118.71918717427742
32,118.92000459885632
33,114.72138371595975
34,118.49321526182743
35,120.2924298503234
36,116.73628035996406
37,115.77907435096945
38,117.8482595856614
39,124.8205786823251
40,122.82967170811371
41,114.44865074085743
42,111.22405056753038
43,119.0495531794902
44,120.21169283367719
45,125.53517558938054
46,125.69187080649937
47,126.79860917521182
48,131.37735117669158
49,128.03256700610405
50,115.25140283262202
51,115.16441955006368
52,114.70695116547824
53,112.88572046974959
54,115.16796806273824
55,114.75964675498712
56,115.20913374885791
57,122.5557925949172
58,123.45067601282746
59,124.17479888293975
60,120.35338784311571
61,119.99214807517079
62,117.6347488966461
63,116.78173236338283
64,114.27547741194239
65,114.35142138910805
66,111.52980186482834
67,112.19656042499041
68,116.0727002219854
69,119.15402630697253
70,110.64779503982017
71,115.59736833100284
72,114.69980452630115
73,116.49459623811795
74,114.6657740158646
75,116.22729044284132
76,121.01843282935697
77,121.08574824491491
78,120.71842233272329
79,120.3039583056591
80,123.9036864670054
81,121.50367128267989
82,120.81849952502728
83,117.77291826443326
84,117.59595683834156
85,116.30920999813623
86,117.59006306766646
87,118.53340446109728
88,118.03434244222997
89,124.13338026738839
90,126.58929834213197
91,123.84333747733227
92,122.88680006862937
93,132.87771708289594
94,136.18082976538452
95,140.04155449546627
96,140.36572625364886
97,133.7204283193224
98,130.3572489003921
99,119.74682640396445
100,115.0798013382247
